commonName,lat,lon
"Stanhope Gate, Mayfair",51.506864,-0.150666
"Charlotte Street, Fitzrovia",51.51953,-0.13577699999999998
"Farm Street, Mayfair",51.509351,-0.147449
"Frith Street, Soho",51.513103,-0.131213
"Marloes Road, Kensington",51.496481,-0.192404
"Moor Street, Soho",51.513527,-0.13011
"Fire Brigade Pier, Vauxhall",51.493699,-0.12139399999999999
"Southampton Street, Strand",51.510701,-0.121723
"Upper Grosvenor Street, Mayfair",51.51013,-0.155757
"Buxton Street 1, Shoreditch",51.521776,-0.068856
"Clifford Street, Mayfair",51.510661999999996,-0.142345
"Imperial College, Knightsbridge",51.499428,-0.179702
"Snow Hill, Farringdon",51.517334,-0.103604
"Aberdeen Place, St. John's Wood",51.524826,-0.17626799999999998
"Cadogan Gardens, Chelsea",51.492462,-0.159919
"Shouldham Street, Marylebone",51.51809,-0.163609
"Devonshire Terrace, Bayswater",51.51348,-0.17977
"Holland Park, Kensington",51.502319,-0.200742
"Brick Lane Market, Shoreditch",51.522617,-0.071653
"George Street, Marylebone",51.517703,-0.154106
"Columbia Road, Shoreditch",51.528187,-0.075375
"Penfold Street, Marylebone",51.522892,-0.171681
"George Place Mews, Marylebone",51.516892,-0.158249
"Palace Gate, Kensington Gardens",51.502042,-0.1844
"Gloucester Road Station, South Kensington",51.494185,-0.18267000000000003
"Sun Street, Liverpool Street",51.520009,-0.083935
"Strata, Elephant & Castle",51.493146,-0.099828
"Edgware Road Station, Marylebone",51.519968,-0.16977399999999998
"Rotherhithe Roundabout, Rotherhithe",51.499169,-0.055846
"Cleaver Street, Kennington",51.488105,-0.110121
"Chelsea Bridge, Pimlico",51.485821,-0.149004
"Southwark Station 1, Southwark",51.504043,-0.10531199999999999
"Southwark Station 2, Southwark",51.504044,-0.104778
"Eaton Square (South), Belgravia",51.494561,-0.153933
"Ebury Bridge, Pimlico",51.490491,-0.14918599999999999
"Vincent Street, Pimlico",51.493072,-0.12992499999999998
"Cheapside, Bank",51.51397,-0.09294000000000001
"Exhibition Road, Knightsbridge",51.499917,-0.174554
"South Parade, Chelsea",51.489020000000004,-0.17524
"Crinan Street, King's Cross",51.534474,-0.12220299999999999
"Exhibition Road Museums 1, South Kensington",51.496468,-0.17379599999999998
"Wren Street, Holborn",51.524564,-0.116279
"Shoreditch Court, Haggerston",51.539083,-0.070329
"Belford House, Haggerston",51.536654,-0.07023
"Battersea Church Road, Battersea",51.476964,-0.174347
"Vicarage Crescent, Battersea",51.472876,-0.17626699999999998
"Durant Street, Bethnal Green",51.528681,-0.06555000000000001
"St. Bride Street, Holborn",51.515059,-0.105344
"Mexfield Road, East Putney",51.45682,-0.20280199999999998
"Upper Richmond Road, Putney",51.459715,-0.212145
"Snowsfields, London Bridge",51.502153,-0.083632
"Barons Court Station, West Kensington",51.490217,-0.215087
"Disraeli Road, Putney",51.46161,-0.216145
"Montserrat Road , Putney",51.463211,-0.21555000000000002
"Albert Bridge Road, Battersea Park",51.474392,-0.163347
"Everington Street, Fulham",51.483356,-0.216305
"Mile End Stadium, Mile End",51.518541,-0.034902999999999997
"Hawley Crescent, Camden Town",51.541007,-0.14326
"Stewart's Road, Wandsworth Road",51.473116,-0.137235
"Aylward Street, Stepney",51.51563,-0.049067
"Dunston Road , Haggerston",51.536585,-0.075885
"Ada Street, Hackney Central",51.535716,-0.060291
"Victoria Park Road, Hackney Central",51.536424,-0.054161999999999995
"Star Road, West Kensington",51.487244,-0.205279
"Wendon Street, Old Ford",51.536039,-0.026261999999999997
"Finnis Street, Bethnal Green",51.524583,-0.058630999999999996
"Stephendale Road, Sands End",51.46822,-0.190346
"Alma Road, Wandsworth",51.457991,-0.184806
"Walworth Square, Walworth",51.491327,-0.09651799999999999
"Alfreda Street, Battersea Park",51.47505,-0.150908
"Chesilton Road, Fulham",51.475698,-0.205876
"Putney Bridge Road, East Putney",51.461999,-0.20624
"St. Peter's Terrace, Fulham",51.478939,-0.208485
"Bridge Avenue, Hammersmith",51.492084,-0.229116
"Michael Road, Walham Green",51.477276,-0.18921000000000002
"Duke Street Hill, London Bridge",51.506304,-0.08726199999999999
"Park Lane, Mayfair",51.505426,-0.150817
"Plough Terrace, Clapham Junction",51.462305,-0.17540699999999998
"Grant Road East, Clapham Junction",51.464894,-0.173029
"Queensdale Road, Shepherd's Bush",51.50659,-0.216104
"Fulham Broadway, Walham Green",51.479932,-0.19411599999999998
"Imperial Road, Sands End",51.475142,-0.187278
"Hortensia Road, West Brompton",51.481765,-0.185273
"Sirdar Road, Avondale",51.510928,-0.21459399999999998
"Freston Road, Avondale",51.512981,-0.219486
"Blenheim Crescent, Ladbroke Grove",51.515108,-0.208565
"Oxford Road, Putney",51.460792,-0.212607
"Ingrave Street, Clapham Junction",51.467454,-0.172293
"Upcerne Road, West Chelsea",51.478169,-0.18243499999999999
"Lots Road, West Chelsea",51.479573,-0.179038
"Ormonde Gate, Chelsea",51.487964,-0.161765
"Hertford Road, De Beauvoir Town",51.537277,-0.079201
"Haggerston Road, Haggerston",51.539328,-0.074284
"Culvert Road, Battersea",51.471095,-0.15785000000000002
"Newton Street, Covent Garden",51.516128,-0.12090899999999999
"London Street, Paddington",51.515117,-0.173712
"Grenfell Road, Avondale",51.5129,-0.21476199999999998
"The Vale, Chelsea",51.485121,-0.174971
"Prince of Wales Drive, Battersea Park",51.475153,-0.159169
"Harcourt Terrace, West Brompton",51.487958,-0.187404
"Westbourne Park Road, Portobello",51.51787,-0.201005
"Broadley Terrace, Marylebone",51.524561,-0.16566799999999998
"Humbolt Road, Fulham",51.483217,-0.21186000000000002
"Storey's Gate, Westminster",51.500703,-0.129698
"Mile End Park Leisure Centre, Mile End",51.520597,-0.032566
"St. John's Road, Clapham Junction",51.462392,-0.168292
"Ranelagh Gardens, Fulham",51.467601,-0.20682699999999998
"Ram Street, Wandsworth",51.457529,-0.192165
"Santos Road, Wandsworth",51.457059,-0.20080599999999998
"Clapham Common North Side, Clapham Common",51.461343,-0.159322
"Sandilands Road, Walham Green",51.473611,-0.191803
"Gwendwr Road, West Kensington",51.491026,-0.209121
